(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(0.03),0.500,0.721,0.819,0.011,0.522,0.440,0.819,0.522,0.440,0.582,0.582,0.712,0.712
(0.05),0.535,0.738,0.845,0.011,0.560,0.471,0.845,0.560,0.471,0.627,0.627,0.766,0.766
(0.07),0.555,0.747,0.852,0.011,0.581,0.489,0.852,0.581,0.489,0.648,0.648,0.791,0.791
(0.09),0.617,0.776,0.873,0.009,0.644,0.540,0.873,0.644,0.540,0.707,0.707,0.891,0.891
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(box_only_0.03),0.500,0.721,0.819,0.011,0.522,0.440,0.819,0.522,0.440,0.582,0.582,0.712,0.712
(box_only_0.05),0.535,0.738,0.845,0.011,0.560,0.471,0.845,0.560,0.471,0.627,0.627,0.766,0.766
(box_only_0.07),0.555,0.747,0.852,0.011,0.581,0.489,0.852,0.581,0.489,0.648,0.648,0.791,0.791
(box_only_0.09),0.617,0.776,0.873,0.009,0.644,0.540,0.873,0.644,0.540,0.707,0.707,0.891,0.891
(box_only_0.11),0.608,0.769,0.856,0.009,0.635,0.538,0.856,0.635,0.538,0.702,0.702,0.830,0.830
(box_only_0.13),0.610,0.769,0.854,0.009,0.636,0.540,0.854,0.636,0.540,0.700,0.700,0.831,0.831
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(0.03),0.511,0.721,0.826,0.011,0.527,0.449,0.826,0.527,0.449,0.566,0.566,0.713,0.713
(0.05),0.550,0.739,0.853,0.010,0.568,0.483,0.853,0.568,0.483,0.611,0.611,0.765,0.765
(0.07),0.569,0.748,0.861,0.010,0.588,0.500,0.861,0.588,0.500,0.633,0.633,0.789,0.789
(0.09),0.628,0.776,0.878,0.008,0.648,0.550,0.878,0.648,0.550,0.690,0.690,0.890,0.890
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(no_neg_0.03),0.511,0.721,0.826,0.011,0.527,0.449,0.826,0.527,0.449,0.566,0.566,0.713,0.713
(no_neg_0.05),0.550,0.739,0.853,0.010,0.568,0.483,0.853,0.568,0.483,0.611,0.611,0.765,0.765
(no_neg_0.07),0.569,0.748,0.861,0.010,0.588,0.500,0.861,0.588,0.500,0.633,0.633,0.789,0.789
(no_neg_0.09),0.628,0.776,0.878,0.008,0.648,0.550,0.878,0.648,0.550,0.690,0.690,0.890,0.890
(no_neg_0.11),0.616,0.770,0.864,0.008,0.638,0.545,0.864,0.638,0.545,0.686,0.686,0.828,0.828
(no_neg_0.13),0.615,0.768,0.860,0.009,0.638,0.543,0.860,0.638,0.543,0.689,0.689,0.831,0.831
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(mom_no_tracking_0.03),0.418,0.683,0.723,0.011,0.434,0.372,0.723,0.434,0.372,0.478,0.478,0.580,0.580
(mom_no_tracking_0.05),0.388,0.670,0.683,0.011,0.403,0.347,0.683,0.403,0.347,0.445,0.445,0.533,0.533
(mom_no_tracking_0.07),0.354,0.655,0.640,0.011,0.367,0.317,0.640,0.367,0.317,0.405,0.405,0.483,0.483
(mom_no_tracking_0.09),0.320,0.641,0.581,0.011,0.331,0.287,0.581,0.331,0.287,0.361,0.361,0.421,0.421
(mom_no_tracking_0.11),0.264,0.614,0.528,0.012,0.271,0.236,0.528,0.271,0.236,0.290,0.290,0.337,0.337
(mom_no_tracking_0.13),0.248,0.607,0.510,0.012,0.254,0.222,0.510,0.254,0.222,0.272,0.272,0.314,0.314
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(no_blue_0.03),0.555,0.741,0.865,0.010,0.569,0.483,0.865,0.569,0.483,0.594,0.594,0.782,0.782
(no_blue_0.05),0.575,0.749,0.868,0.010,0.590,0.501,0.868,0.590,0.501,0.619,0.619,0.808,0.808
(no_blue_0.07),0.542,0.735,0.853,0.010,0.556,0.476,0.853,0.556,0.476,0.586,0.586,0.728,0.728
(no_blue_0.09),0.502,0.715,0.802,0.010,0.513,0.442,0.802,0.513,0.442,0.534,0.534,0.666,0.666
(no_blue_0.11),0.501,0.714,0.803,0.010,0.512,0.441,0.803,0.512,0.441,0.531,0.531,0.665,0.665
(no_blue_0.13),0.506,0.716,0.792,0.010,0.518,0.446,0.792,0.518,0.446,0.539,0.539,0.670,0.670
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(no_bgs_full_0.03),0.506,0.708,0.807,0.010,0.514,0.440,0.807,0.514,0.440,0.521,0.521,0.691,0.691
(no_bgs_full_0.05),0.544,0.726,0.832,0.009,0.554,0.475,0.832,0.554,0.475,0.565,0.565,0.736,0.736
(no_bgs_full_0.07),0.521,0.722,0.807,0.009,0.535,0.460,0.807,0.535,0.460,0.556,0.556,0.704,0.704
(no_bgs_full_0.09),0.563,0.741,0.815,0.008,0.580,0.498,0.815,0.580,0.498,0.605,0.605,0.753,0.753
(no_bgs_full_0.11),0.577,0.748,0.825,0.008,0.597,0.512,0.825,0.597,0.512,0.633,0.633,0.775,0.775
(no_bgs_full_0.13),0.578,0.750,0.824,0.008,0.599,0.513,0.824,0.599,0.513,0.638,0.638,0.777,0.777
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(rerun_0.03),0.488,0.708,0.781,0.012,0.501,0.424,0.781,0.501,0.424,0.532,0.532,0.706,0.706
(rerun_0.05),0.503,0.714,0.820,0.012,0.517,0.438,0.820,0.517,0.438,0.551,0.551,0.727,0.727
(rerun_0.07),0.523,0.723,0.831,0.012,0.538,0.455,0.831,0.538,0.455,0.570,0.570,0.751,0.751
(rerun_0.09),0.602,0.761,0.861,0.010,0.615,0.521,0.861,0.615,0.521,0.637,0.637,0.862,0.862
(rerun_0.11),0.593,0.756,0.845,0.009,0.605,0.517,0.845,0.605,0.517,0.628,0.628,0.799,0.799
(rerun_0.13),0.598,0.759,0.843,0.008,0.610,0.522,0.843,0.610,0.522,0.633,0.633,0.801,0.801
